commune_name,longitude,latitude
Cité Mokhtar Zerhouni,3.1743236,36.7294782
Cité Universitaire - CUB 1,3.1840653,36.7322506
Bab Ezzouar - Le Pont باب الزوار - الجسر,3.184784,36.7243461
Université de Bab Ezzouar,3.1795751,36.7208103
Cité Rabia,3.1769703,36.7244806
Tamaris,3.1732935,36.7325544
Les Pins,3.1670294,36.7321994
Foire d'Alger,3.1613689,36.7312694
Cinq Maisons,3.1508033,36.7258806
Bekri Bouguerra,3.1434353,36.7278111
Pont El Harrach,3.1301597,36.7302783
Tripoli-Magharia,3.1136772,36.7370321
Tripoli - Hamadeche,3.1040904,36.7407195
Tripoli - Mosquée,3.0974131,36.7432626
Les Fusillés,3.086813,36.7459931
Bordj El Kiffan - Polyclinique,3.1970759,36.7481604
Bordj El Kiffan - Centre,3.1910023,36.7470254
Bordj El Kifane - Lycée,3.1876677,36.7453267
Cité Claire Matin,3.1860904,36.7409744
Cité 8 Mai 1945,3.1849088,36.7373281
Ruisseau,3.0834886,36.742878
Cité 5 juillet,3.1828188,36.7215273
Mouhous,3.206485,36.7493038
La Glacière,3.1246314,36.7328166
Caroubier,3.1181771,36.7357136
Bellevue,3.1360516,36.7294979
Tripoli - Thâalibia,3.0922946,36.7452182
Benzerga,3.2451557,36.7730406
Mimouni Hamoudi,3.2119921,36.7503142
La Glacière,3.1245275,36.7326363
Ben Mrabet,3.2200951,36.7535674
Sidi Dris,3.2384262,36.7660323
Café Chergui,3.2501635,36.7774533
Ben Mered,3.2294045,36.7589908
Les Fusillés,3.0867914,36.7460096
Ben Mered,3.2293823,36.7590229
Café Chergui,3.2501708,36.7774912
Mimouni Mahmoud,3.2119574,36.7503702
Benzerga,3.2451316,36.7730613
Sidi Dris,3.2384001,36.7660513
Mouhous,3.2064851,36.7493554
Ben Mrabet,3.2200865,36.753599
Bordj El Kiffan - Polyclinique,3.1971485,36.7482018
Bordj El Kiffan - Centre,3.1909913,36.747044
Bordj El Kiffan - Lycée,3.1876436,36.7453314
Cité Clair Matin,3.1860611,36.7409816
Cité 8 mai 1945,3.1848779,36.737329
Bab Ezzouar - Le Pont,3.1847488,36.7243368
Cité Universitaire - CUB 1,3.1840388,36.7322534
Cité 5 juillet,3.1827917,36.721547
Cité Rabia,3.1770059,36.7244919
Université de Bab Ezzouar,3.1795987,36.7208223
Cité Mokhtar Zerhouni,3.1743557,36.7294778
Les Pins,3.1670089,36.7322233
Tamaris,3.1732918,36.7326314
Foire d'Alger,3.1613624,36.7312998
Cinq Maisons,3.1507849,36.7259033
Bekri Bouguerra,3.1434485,36.7278378
Bellevue,3.1360464,36.7295175
Pont El-Harrach,3.1301771,36.7303138
La Glacière,3.1246565,36.732837
Caroubier,3.1181711,36.7357507
Tripoli-Magharia,3.113698,36.7370641
Tripoli-Hamadeche,3.1041049,36.7407402
Tripoli - Thâalibia,3.0923089,36.7452426
Tripoli - Mosquée,3.0974281,36.7432855
La Glacière,3.1245081,36.7326143
Cité Diplomatique,3.2593565,36.7739566
Dergana Centre,3.2603056,36.7719729
