@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter
node/452418787,Cité Mokhtar Zerhouni,حي مختار زرهوني,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1743236,36.7294782,,,,,,,,,
node/472084248,Cité Universitaire - CUB 1,الإقامة الجامعية - ح ج ب 1,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1840653,36.7322506,RUBE 1,,,,,,,,
node/472084262,Bab Ezzouar - Le Pont باب الزوار - الجسر,باب الزوار - الجسر,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.184784,36.7243461,,,,,,,,,
node/472084274,Université de Bab Ezzouar,جامعة باب الزوار,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1795751,36.7208103,,جامعة العلوم و التكنولوجيا هواري بومدين,Université USTHB,,,,,,
node/472084279,Cité Rabia,حي رابية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1769703,36.7244806,,,,,,,,,
node/472084291,Tamaris,حي المندرين,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1732935,36.7325544,,,,,,,,,
node/472084293,Les Pins,الصنوبر,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1670294,36.7321994,,,,,,,,,
node/472084301,Foire d'Alger,قصر المعارض,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1613689,36.7312694,,,,,,,,,
node/472089383,Cinq Maisons,الديار الخمس,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.1508033,36.7258806,,سان ميزون,,Cinq Maisons,,,,,
node/472089389,Bekri Bouguerra,بكري بوقرة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1434353,36.7278111,,,,,,,,,
node/472089401,Pont El Harrach,جسر الحراش,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1301597,36.7302783,,,,Pont El Harrach,,,,,
node/472089412,Tripoli-Magharia,طرابلس - المقرية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1136772,36.7370321,,,,Tripoli - Makaria,,,,,
node/472089415,Tripoli - Hamadeche,طرابلس - حمداش,,,SETRAM,,stop_position,tram_stop,yes,3.1040904,36.7407195,,,,,,,,,
node/472089416,Tripoli - Mosquée,طرابلس - المسجد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0974131,36.7432626,,,,,,,,,
node/472089428,Les Fusillés,المعدومين,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.086813,36.7459931,,,,Les Fusillés,,,,,
node/689997704,Bordj El Kiffan - Polyclinique,برج الكيفان - العيادة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1970759,36.7481604,,,,,,,,,
